pic_3_3,CURRENT_FIX_DURATION,CURRENT_SAC_AMPLITUDE,CURRENT_SAC_AVG_VELOCITY,AVERAGE_FIXATION_DURATION,AVERAGE_SACCADE_AMPLITUDE,FIXATION_COUNT,PUPIL_SIZE_MAX,PUPIL_SIZE_MEAN,PUPIL_SIZE_MIN,SACCADE_COUNT,calculated_result
low_011.jpg,5059.0,129.49,71.6,252.95,5.09,20,2199,1534.28,0,19,93.12195843299148
low_015.jpg,5540.0,138.81,269.56,325.88,.,17,2638,1750.82,0,17,160.7477751961073
low_017.jpg,5161.0,117.39,250.32,286.72,5.84,18,3093,2132.06,0,17,113.1521027675826
low_037.jpg,5396.0,97.11,178.58,359.73,9.28,15,2817,1902.63,0,14,144.65139014162332
noi_001.jpg,5916.0,87.71000000000001,185.36,455.08,8.32,13,2533,1983.57,0,12,123.54676786267667
noi_005.jpg,5935.0,100.62,185.48,370.94,6.28,16,2863,2097.47,0,15,89.529539837315
noi_027.jpg,4916.0,80.09,166.81,307.25,8.96,16,2517,1582.99,0,15,127.85503198483036
noi_047.jpg,5242.0,65.86,80.42,275.89,.,19,2842,1799.96,0,19,113.92153176633576
noi_063.jpg,5346.0,138.44,3.33,243.0,7.12,22,1970,1423.71,0,21,145.94619895379216
noi_081.jpg,4963.0,134.02,29.64,310.19,8.65,16,2392,1632.46,0,16,157.76418833527686
